PID      Name                 max_procs                      mounts                         fd_count       
-----------------------------------------------------------------------------------------------------------
1        systemd              44487                          65                             0              
10       kworker/0:0H-events_highpri 44487                          65                             0              
10007    gvfsd-trash          44487                          65                             14             
10030    xdg-desktop-por      44487                          65                             27             
10053    localsearch-3        44487                          65                             54             
10054    xdg-desktop-por      44487                          65                             13             
10066    gjs                  44487                          65                             8              
101      kworker/R-charger_manager 44487                          65                             0              
10149    xdg-desktop-por      44487                          65                             15             
10154    gvfsd-metadata       44487                          65                             10             
10261    update-notifier      44487                          65                             17             
126      kworker/1:1H-kblockd 44487                          65                             0              
13       kworker/R-mm_percpu_wq 44487                          65                             0              
14       rcu_tasks_kthread    44487                          65                             0              
15       rcu_tasks_rude_kthread 44487                          65                             0              
1544     avahi-daemon         44487                          0                              0              
1545     dbus-daemon          44487                          65                             0              
154542   fwupd                44487                          88                             0              
1549     gnome-remote-de      44487                          65                             0              
1553     polkitd              44487                          88                             0              
156      kworker/3:1H-i915_cleanup 44487                          65                             0              
1562     snapd                44487                          65                             0              
1567     accounts-daemon      44487                          86                             0              
1570     switcheroo-cont      44487                          67                             0              
1574     systemd-logind       44487                          78                             0              
1576     systemd-machine      44487                          65                             0              
1577     thermald             44487                          65                             0              
1578     udisksd              44487                          65                             0              
1579     virtlockd            44487                          65                             0              
158      kworker/3:3-events   44487                          65                             0              
1582     virtlogd             44487                          79                             0              
1596     avahi-daemon         44487                          65                             0              
16       rcu_tasks_trace_kthread 44487                          65                             0              
1637     rsyslogd             44487                          65                             0              
1641     NetworkManager       44487                          71                             0              
1645     wpa_supplicant       44487                          65                             0              
167      scsi_eh_0            44487                          65                             0              
168      kworker/R-scsi_tmf_0 44487                          65                             0              
17       ksoftirqd/0          44487                          65                             0              
1721     ModemManager         44487                          69                             0              
175      scsi_eh_1            44487                          65                             0              
176      kworker/R-scsi_tmf_1 44487                          65                             0              
18       rcu_preempt          44487                          65                             0              
181      scsi_eh_2            44487                          65                             0              
182      kworker/R-scsi_tmf_2 44487                          65                             0              
185      scsi_eh_3            44487                          65                             0              
1854     psimon               44487                          65                             0              
1856     hwrng                44487                          65                             0              
1859     cupsd                44487                          65                             0              
186      kworker/R-scsi_tmf_3 44487                          65                             0              
1862     unattended-upgr      44487                          65                             0              
1872     containerd           unlimited                      65                             0              
1891     kworker/u17:2-i915_flip 44487                          65                             0              
19       rcu_exp_par_gp_kthread_worker/0 44487                          65                             0              
1907     bluetoothd           1                              81                             0              
1921     krfcommd             44487                          65                             0              
193      kworker/R-sdhci      44487                          65                             0              
194      irq/18-mmc0          44487                          65                             0              
