PID      Name                 max_procs                      mounts                         fd_count       
3050     goa-daemon           44487                          63                             12             
3051     gsd-housekeepin      44487                          63                             12             
3052     gsd-keyboard         44487                          63                             15             
3055     gsd-media-keys       44487                          63                             20             
3059     gsd-power            44487                          63                             21             
3062     gsd-print-notif      44487                          63                             9              
3063     gsd-rfkill           44487                          63                             10             
3067     gsd-screensaver      44487                          63                             7              
3070     gsd-sharing          44487                          63                             9              
3073     gsd-smartcard        44487                          63                             8              
3075     gsd-disk-utilit      44487                          63                             8              
3097     evolution-alarm      44487                          63                             16             
31       idle_inject/1        44487                          63                             0              
3158     gsd-sound            44487                          63                             9              
3159     gsd-wacom            44487                          63                             13             
3189     goa-identity-se      44487                          63                             8              
32       migration/1          44487                          63                             0              
321      systemd-journal      44487                          63                             0              
3212     gvfs-udisks2-vo      44487                          63                             14             
3238     gsd-printer          44487                          63                             8              
3250     evolution-calen      44487                          63                             13             
3255     ibus-memconf         44487                          63                             9              
3257     ibus-extension-      44487                          63                             15             
3262     ibus-portal          44487                          63                             9              
3280     gvfs-goa-volume      44487                          63                             7              
3287     gvfs-mtp-volume      44487                          63                             8              
3292     evolution-addre      44487                          63                             13             
3299     gvfs-afc-volume      44487                          63                             8              
33       ksoftirqd/1          44487                          63                             0              
3311     gvfs-gphoto2-vo      44487                          63                             8              
3334     ibus-engine-sim      44487                          63                             9              
3357     dconf-service        44487                          63                             7              
3358     snapd-desktop-i      44487                          476                            3              
3415     snapd-desktop-i      44487                          476                            14             
342      systemd-oomd         44487                          78                             0              
3433     gvfsd-trash          44487                          63                             14             
3462     xdg-desktop-por      44487                          63                             32             
3464     localsearch-3        44487                          63                             55             
3477     xdg-desktop-por      44487                          63                             13             
3499     gjs                  44487                          63                             8              
35       kworker/1:0H-events_highpri 44487                          63                             0              
3577     xdg-desktop-por      44487                          63                             16             
3583     gvfsd-metadata       44487                          63                             10             
36       cpuhp/3              44487                          63                             0              
3692     Xwayland             44487                          63                             26             
37       idle_inject/3        44487                          63                             0              
3707     gsd-xsettings        44487                          63                             19             
3726     mutter-x11-fram      44487                          63                             13             
3752     ibus-x11             44487                          63                             10             
38       migration/3          44487                          63                             0              
380      systemd-timesyn      44487                          81                             0              
388      systemd-resolve      44487                          80                             0              
39       ksoftirqd/3          44487                          63                             0              
390      systemd-udevd        44487                          61                             0              
3959     update-notifier      44487                          63                             17             
397      psimon               44487                          63                             0              
4        kworker/R-rcu_gp     44487                          63                             0              
41       kworker/3:0H-events_highpri 44487                          63                             0              
42       kdevtmpfs            44487                          1                              0              
43       kworker/R-inet_frag_wq 44487                          63                             0              
44       kauditd              44487                          63                             0              
4471     snap                 44487                          63                             6              
45       khungtaskd           44487                          63                             0              
46       oom_reaper           44487                          63                             0              
49       kworker/R-writeback  44487                          63                             0              
5        kworker/R-sync_wq    44487                          63                             0              
50       kcompactd0           44487                          63                             0              
51       ksmd                 44487                          63                             0              
52       khugepaged           44487                          63                             0              
53       kworker/R-kintegrityd 44487                          63                             0              
54       kworker/R-kblockd    44487                          63                             0              
54933    kworker/u16:3-events_power_efficient 44487                          63                             0              
55       kworker/R-blkcg_punt_bio 44487                          63                             0              
55251    kworker/0:0-events   44487                          63                             0              
55387    kworker/3:2-events   44487                          63                             0              
55404    kworker/1:1-events   44487                          63                             0              
55472    Isolated Web Co      44487                          0                              44             
55479    Isolated Web Co      44487                          0                              44             
55773    Isolated Web Co      44487                          0                              44             
55787    Isolated Web Co      44487                          0                              44             
55789    Web Content          44487                          0                              43             
55864    Web Content          44487                          0                              43             
56       irq/9-acpi           44487                          63                             0              
56553    Web Content          44487                          0                              43             
56788    chrome               44487                          0                              55             
56799    chrome               44487                          0                              41             
56816    chrome               44487                          0                              32             
56880    kworker/u16:1-kvfree_rcu_reclaim 44487                          63                             0              
57969    kworker/u16:4-flush-8:0 44487                          63                             0              
59       kworker/R-tpm_dev_wq 44487                          63                             0              
6        kworker/R-kvfree_rcu_reclaim 44487                          63                             0              
60       kworker/R-ata_sff    44487                          63                             0              
607      kworker/R-kmemstick  44487                          63                             0              
61       kworker/R-md         44487                          63                             0              
62       kworker/R-md_bitmap  44487                          63                             0              
63       kworker/R-edac-poller 44487                          63                             0              
639      irq/31-mei_me        44487                          63                             0              
65       kworker/R-devfreq_wq 44487                          63                             0              
66       watchdogd            44487                          63                             0              
66758    kworker/0:3          44487                          63                             0              
668      kworker/R-cfg80211   44487                          63                             0              
66917    eog                  44487                          63                             19             
67       kworker/3:1H-i915_cleanup 44487                          63                             0              
67067    kworker/2:1          44487                          63                             0              
67150    kworker/3:1-cgroup_destroy 44487                          63                             0              
67152    kworker/u16:2-events_unbound 44487                          63                             0              
67398    kworker/1:0          44487                          63                             0              
69       kswapd0              44487                          63                             0              
69187    kworker/3:0          44487                          63                             0              
7        kworker/R-slub_flushwq 44487                          63                             0              
70       ecryptfs-kthread     44487                          63                             0              
